epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
119,19986,1.19518,2.61928,1.069,0.76463,0.75606,0.75622,0.53215,0.96387,2.60921,0.94828,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,20149,1.18211,2.61227,1.06342,0.7639,0.75615,0.75932,0.53619,0.96218,2.60801,0.94843,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,20313.4,1.18865,2.61787,1.06604,0.76698,0.75601,0.75778,0.53759,0.96183,2.5981,0.94827,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,20478.8,1.19402,2.58765,1.07127,0.76717,0.75458,0.75594,0.53512,0.9602,2.59991,0.94928,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,20643,1.18113,2.60261,1.06527,0.77678,0.75331,0.75664,0.53416,0.95811,2.60303,0.94806,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,20806.7,1.18252,2.57378,1.06545,0.77786,0.75672,0.75585,0.53347,0.95711,2.59976,0.94894,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,20972.4,1.17451,2.54438,1.06018,0.76276,0.75772,0.75365,0.53267,0.95414,2.59706,0.94796,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
126,21138.2,1.18176,2.56072,1.06436,0.75819,0.76004,0.7519,0.53123,0.95459,2.59848,0.94802,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
127,21304.5,1.17358,2.56051,1.05981,0.76106,0.75971,0.74954,0.52832,0.95372,2.6004,0.94767,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
128,21472.2,1.17955,2.57578,1.05729,0.75999,0.75975,0.74963,0.52788,0.95342,2.60626,0.94726,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292
